Year,Min age,Max age,Sex,Chip Time (min)
16,25,29,M,128
16,25,29,M,129
16,18,24,M,130
16,25,29,M,132
16,35,39,M,133
16,30,34,M,136
16,18,24,M,140
16,30,34,M,140
16,35,39,M,142
16,35,39,M,144
16,18,24,F,145
16,40,44,M,145
16,35,39,M,145
16,25,29,F,146
16,18,24,M,147
16,25,29,M,148
16,18,24,F,148
16,25,29,M,149
16,30,34,M,151
16,30,34,M,152
16,25,29,F,153
16,35,39,F,154
16,30,34,M,154
16,30,34,F,154
16,25,29,F,157
16,30,34,M,158
16,35,39,M,158
16,25,29,M,159
16,30,34,M,160
16,25,29,F,160
16,30,34,F,161
16,30,34,M,161
16,30,34,M,161
16,35,39,M,161
16,25,29,M,162
16,35,39,M,163
16,30,34,M,164
16,25,29,M,165
16,30,34,M,165
16,18,24,M,166
16,18,24,F,167
16,45,49,M,168
16,30,34,F,168
16,45,49,M,168
16,30,34,F,168
16,40,44,M,169
16,35,39,M,169
16,35,39,M,169
16,25,29,M,170
16,40,44,M,170
16,30,34,F,170
16,25,29,M,171
16,25,29,M,171
16,35,39,M,171
16,50,54,M,171
16,45,49,M,171
16,25,29,F,171
16,35,39,M,172
16,40,44,M,172
16,40,44,M,172
16,25,29,M,173
16,45,49,M,173
16,30,34,M,173
16,35,39,M,173
16,25,29,M,174
16,35,39,M,174
16,40,44,M,174
16,25,29,M,175
16,30,34,M,175
16,30,34,M,175
16,50,54,M,176
16,25,29,M,176
16,50,54,M,176
16,40,44,M,177
16,45,49,M,177
16,30,34,M,177
16,30,34,M,177
16,35,39,M,177
16,25,29,M,178
16,30,34,M,178
16,30,34,M,178
16,18,24,M,178
16,35,39,M,178
16,25,29,M,178
16,30,34,M,179
16,35,39,M,179
16,45,49,M,179
16,35,39,M,179
16,25,29,M,179
16,18,24,M,179
16,45,49,M,179
16,45,49,M,179
16,40,44,M,180
16,30,34,M,180
16,45,49,M,180
16,30,34,M,180
16,18,24,M,180
16,25,29,M,181
16,35,39,M,181
16,30,34,M,181
16,35,39,M,182
16,35,39,M,182
16,25,29,M,182
16,45,49,M,182
16,35,39,M,182
16,35,39,M,183
16,18,24,M,183
16,25,29,M,183
16,50,54,M,183
16,45,49,M,183
16,40,44,M,183
16,40,44,M,183
16,30,34,F,183
16,25,29,F,183
16,25,29,M,183
16,50,54,M,183
16,45,49,M,183
16,40,44,F,184
16,25,29,M,184
16,35,39,F,184
16,35,39,M,184
16,40,44,M,184
16,35,39,M,184
16,30,34,M,184
16,30,34,M,184
16,30,34,M,185
16,25,29,M,185
16,40,44,M,185
16,35,39,M,185
16,25,29,M,185
16,45,49,M,185
16,35,39,M,185
16,25,29,M,185
16,25,29,M,186
16,45,49,M,186
16,35,39,M,187
16,25,29,M,187
16,30,34,M,187
16,45,49,M,187
16,40,44,M,187
16,50,54,M,187
16,45,49,M,187
16,25,29,F,187
16,35,39,M,187
16,35,39,M,187
16,40,44,M,187
16,35,39,M,187
16,45,49,M,187
16,35,39,M,187
16,40,44,M,187
16,25,29,M,188
16,30,34,M,188
16,40,44,M,188
16,55,59,M,188
16,18,24,F,188
16,25,29,M,188
16,30,34,M,188
16,40,44,M,188
16,35,39,M,188
16,25,29,F,188
16,40,44,F,189
16,35,39,M,189
16,30,34,M,189
16,25,29,M,189
16,55,59,M,189
16,25,29,M,189
16,35,39,M,189
16,25,29,M,189
16,18,24,M,189
16,25,29,M,189
16,30,34,M,189
16,35,39,M,189
16,25,29,M,189
16,25,29,F,189
16,40,44,F,190
16,40,44,M,190
16,35,39,M,190
16,40,44,M,190
16,40,44,F,190
16,40,44,M,190
16,35,39,M,190
16,18,24,M,190
16,25,29,M,191
16,25,29,M,191
16,40,44,M,191
16,45,49,M,191
16,25,29,M,191
16,45,49,M,192
16,25,29,F,192
16,30,34,M,192
16,35,39,F,193
16,55,59,M,193
16,25,29,F,193
16,18,24,M,193
16,40,44,M,193
16,40,44,M,193
16,35,39,M,193
16,35,39,M,193
16,35,39,M,193
16,45,49,M,193
16,35,39,M,193
16,35,39,M,193
16,40,44,M,194
16,25,29,M,194
16,40,44,M,194
16,25,29,M,194
16,18,24,M,194
16,40,44,M,194
16,30,34,F,194
16,35,39,F,194
16,45,49,M,194
16,30,34,M,194
16,40,44,M,194
16,30,34,F,194
16,40,44,M,194
16,40,44,M,194
16,35,39,M,194
16,30,34,M,194
16,25,29,M,195
16,35,39,F,195
16,35,39,M,195
16,35,39,M,195
16,40,44,M,195
16,25,29,M,195
16,25,29,M,195
16,30,34,F,195
16,40,44,M,195
16,45,49,M,195
16,25,29,M,195
16,40,44,M,196
16,30,34,M,196
16,35,39,F,196
16,18,24,M,196
16,18,24,M,196
16,40,44,M,196
16,45,49,M,196
16,25,29,F,196
16,30,34,M,196
16,25,29,M,196
16,45,49,M,197
16,25,29,M,197
16,50,54,F,197
16,35,39,F,197
16,40,44,M,197
16,30,34,M,197
16,25,29,M,197
16,45,49,M,197
16,35,39,M,197
16,30,34,F,197
16,40,44,M,197
16,30,34,M,197
16,25,29,M,197
16,30,34,M,197
16,45,49,M,197
16,35,39,M,198
16,40,44,M,198
16,25,29,F,198
16,45,49,M,198
16,30,34,M,198
16,35,39,M,198
16,30,34,M,198
16,35,39,M,198
16,40,44,M,198
16,35,39,M,198
16,35,39,M,198
16,35,39,M,198
16,35,39,M,198
16,45,49,M,199
16,50,54,M,199
16,30,34,M,199
16,40,44,M,199
16,30,34,M,199
16,35,39,M,199
16,35,39,M,199
16,30,34,M,199
16,30,34,M,199
16,50,54,M,199
16,45,49,M,199
16,25,29,M,199
16,45,49,M,199
16,45,49,F,199
16,50,54,M,199
16,35,39,M,199
16,35,39,F,199
16,45,49,M,199
16,18,24,M,199
16,45,49,M,199
16,40,44,M,200
16,35,39,M,200
16,40,44,F,200
16,45,49,F,200
16,50,54,M,200
16,45,49,M,200
16,45,49,M,200
16,45,49,M,200
16,30,34,M,201
16,30,34,F,201
16,35,39,M,201
16,35,39,M,201
16,30,34,M,201
16,40,44,M,201
16,40,44,M,201
16,50,54,M,201
16,45,49,F,201
16,30,34,M,201
16,50,54,M,201
16,50,54,M,201
16,45,49,M,201
16,45,49,M,201
16,35,39,M,201
16,35,39,M,202
16,18,24,M,202
16,45,49,M,202
16,45,49,M,202
16,30,34,F,202
16,25,29,M,202
16,45,49,M,202
16,35,39,M,202
16,40,44,M,202
16,40,44,M,202
16,50,54,M,202
16,35,39,F,202
16,40,44,M,202
16,18,24,M,202
16,40,44,M,202
16,30,34,M,202
16,45,49,M,202
16,45,49,M,202
16,25,29,M,202
16,25,29,M,203
16,25,29,M,203
16,25,29,F,203
16,30,34,M,203
16,30,34,M,203
16,25,29,M,203
16,30,34,F,203
16,25,29,F,203
16,40,44,M,203
16,30,34,M,203
16,50,54,M,203
16,50,54,M,203
16,45,49,M,203
16,45,49,M,203
16,60,64,M,203
16,45,49,M,204
16,50,54,M,204
16,50,54,M,204
16,50,54,M,204
16,35,39,M,204
16,25,29,M,204
16,45,49,M,204
16,25,29,M,204
16,40,44,M,204
16,18,24,M,204
16,25,29,F,204
16,35,39,F,205
16,45,49,M,205
16,30,34,M,205
16,40,44,M,205
16,30,34,M,205
16,55,59,M,205
16,25,29,F,205
16,35,39,M,205
16,55,59,M,205
16,25,29,M,205
16,30,34,M,205
16,55,59,M,205
16,35,39,M,205
16,45,49,M,205
16,55,59,M,205
16,30,34,F,205
16,45,49,M,205
16,40,44,M,205
16,55,59,F,205
16,55,59,M,205
16,50,54,M,205
16,35,39,M,205
16,30,34,F,205
16,50,54,M,205
16,35,39,F,205
16,40,44,F,206
16,40,44,M,206
16,45,49,M,206
16,45,49,M,206
16,45,49,M,206
16,60,64,M,206
16,35,39,F,206
16,30,34,M,206
16,18,24,M,206
16,60,64,M,206
16,35,39,M,206
16,35,39,M,206
16,18,24,M,206
16,50,54,M,206
16,40,44,M,206
16,40,44,F,206
16,50,54,M,206
16,35,39,M,206
16,50,54,M,206
16,35,39,M,206
16,30,34,M,207
16,45,49,M,207
16,40,44,M,207
16,50,54,M,207
16,18,24,M,207
16,25,29,M,207
16,40,44,M,207
16,30,34,M,207
16,40,44,M,207
16,50,54,M,207
16,50,54,M,207
16,40,44,M,207
16,25,29,M,207
16,55,59,M,207
16,40,44,M,207
16,30,34,M,207
16,40,44,M,207
16,40,44,F,207
16,40,44,M,207
16,35,39,F,207
16,30,34,M,207
16,50,54,M,207
16,45,49,M,208
16,18,24,M,208
16,35,39,F,208
16,30,34,M,208
16,50,54,M,208
16,25,29,M,208
16,30,34,M,208
16,25,29,M,208
16,30,34,M,208
16,45,49,M,208
16,45,49,M,208
16,25,29,M,208
16,50,54,M,208
16,40,44,M,208
16,50,54,M,208
16,35,39,M,208
16,25,29,M,208
16,50,54,M,208
16,35,39,M,208
16,35,39,M,208
16,40,44,M,208
16,40,44,M,208
16,30,34,M,208
16,45,49,M,209
16,25,29,M,209
16,30,34,M,209
16,30,34,F,209
16,55,59,M,209
16,55,59,M,209
16,30,34,F,209
16,40,44,M,209
16,25,29,M,209
16,30,34,F,209
16,40,44,M,209
16,45,49,F,209
16,25,29,M,209
16,25,29,M,209
16,30,34,F,209
16,18,24,F,209
